trd_prd,AAPL weight,MSFT weight,JPM weight,XOM weight,JNJ weight,PG weight,NVDA weight,CAT weight,HD weight,AMZN weight,AAPL entry timestamp,MSFT entry timestamp,JPM entry timestamp,XOM entry timestamp,JNJ entry timestamp,PG entry timestamp,NVDA entry timestamp,CAT entry timestamp,HD entry timestamp,AMZN entry timestamp,AAPL exit timestamp,MSFT exit timestamp,JPM exit timestamp,XOM exit timestamp,JNJ exit timestamp,PG exit timestamp,NVDA exit timestamp,CAT exit timestamp,HD exit timestamp,AMZN exit timestamp,AAPL entry price,MSFT entry price,JPM entry price,XOM entry price,JNJ entry price,PG entry price,NVDA entry price,CAT entry price,HD entry price,AMZN entry price,AAPL exit price,MSFT exit price,JPM exit price,XOM exit price,JNJ exit price,PG exit price,NVDA exit price,CAT exit price,HD exit price,AMZN exit price
2024.11,0.0801847879887807,0.09354891932024419,-0.18181818181818182,0.08909420887642303,0.07424517406368586,0.1039432436891602,0.07424517406368586,0.11730737502062365,0.10839795413298134,0.07721498102623328,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-07 12:00:00,2024-11-07 09:30:00,2024-11-06 09:30:00,2024-11-01 12:00:00,2024-11-08 12:00:00,2024-11-06 11:00:00,2024-11-05 09:30:00,2024-11-06 09:30:00,2024-11-06 10:00:00,2024-11-06 11:00:00,221.0,409.0,223.56,119.65,160.58,165.31,134.7,378.07,394.8,198.88,227.2,421.9,240.47,116.29,156.11,160.32,138.77,409.22,382.4,205.57
2024.12,-0.08423326133909288,-0.06349892008639309,-0.08682505399568036,0.19999999999999996,-0.04794816414686824,-0.09071274298056156,0.19999999999999996,-0.08423326133909287,-0.08423326133909287,-0.05831533477321814,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-11 10:00:00,2024-12-05 12:00:00,2024-12-18 14:00:00,2024-12-11 10:00:00,2024-12-11 15:00:00,2024-12-18 09:30:00,2024-12-05 11:00:00,2024-12-12 09:30:00,2024-12-18 14:00:00,2024-12-05 12:00:00,237.27,421.57,249.55,118.05,154.75,179.12,138.83,407.46,429.0,209.9,250.14,443.94,234.0,111.69,146.64,169.56,146.08,385.24,397.82,221.54
2025.01,-0.18181818181818185,0.10510240747394899,0.08246496586417536,0.09054976643909451,0.06629536471433704,0.08246496586417536,0.10348544735896514,0.10510240747394899,0.095400646784046,0.08731584620912686,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-10 11:00:00,2025-01-31 00:00:00,2025-01-16 09:30:00,2025-01-31 00:00:00,2025-01-30 13:00:00,2025-01-10 14:00:00,2025-01-03 09:30:00,2025-01-17 11:00:00,2025-01-21 09:30:00,2025-01-22 11:00:00,248.93,425.53,240.92,108.28,145.23,168.1,136.0,365.51,392.13,222.44,234.89,415.06,256.01,106.83,154.01,157.79,143.93,386.36,416.46,235.07
2025.02,0.16666666666666666,0.16666666666666666,-0.0881578947368421,-0.053947368421052626,-0.07894736842105263,-0.06052631578947368,0.16666666666666666,-0.061842105263157886,-0.07236842105263157,-0.08421052631578947,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-21 11:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,2025-02-21 14:00:00,2025-02-28 00:00:00,2025-02-05 11:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,2025-02-21 13:00:00,229.99,411.68,261.83,106.64,152.0,165.47,114.76,364.14,406.12,233.94,247.02,396.99,264.65,111.33,163.25,173.84,124.05,343.95,396.6,215.77
2025.03,-0.09785407725321889,0.10175438596491228,0.09122807017543859,-0.07896995708154508,-0.10472103004291848,-0.11845493562231763,0.10526315789473682,0.09473684210526313,0.10350877192982456,0.10350877192982456,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-12 10:00:00,2025-03-31 00:00:00,2025-03-10 09:30:00,2025-03-31 00:00:00,2025-03-31 00:00:00,2025-03-31 00:00:00,2025-03-06 14:00:00,2025-03-31 00:00:00,2025-03-13 09:30:00,2025-03-10 10:00:00,241.81,398.82,264.0,111.7,164.96,173.58,123.5,347.63,396.95,213.17,216.1,375.39,234.95,118.93,165.84,170.42,110.84,329.8,354.79,191.09
2025.04,0.08834586466165412,0.08304511278195487,-0.09022556390977443,-0.14135338345864665,0.0706766917293233,0.0812781954887218,0.11661654135338345,-0.1323308270676692,0.06890977443609023,0.12721804511278195,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-03 09:30:00,2025-04-07 09:30:00,2025-04-03 10:00:00,2025-04-03 14:00:00,2025-04-07 09:30:00,2025-04-07 09:30:00,2025-04-03 10:00:00,2025-04-03 10:00:00,2025-04-07 09:30:00,2025-04-02 12:00:00,219.87,374.65,242.62,119.22,160.73,170.57,108.52,327.01,364.14,187.86,204.36,353.35,227.65,113.16,148.41,160.57,102.78,309.2,339.6,197.12
