trd_prd,AAPL weight,MSFT weight,JPM weight,XOM weight,JNJ weight,PG weight,NVDA weight,CAT weight,HD weight,AMZN weight,AAPL entry timestamp,MSFT entry timestamp,JPM entry timestamp,XOM entry timestamp,JNJ entry timestamp,PG entry timestamp,NVDA entry timestamp,CAT entry timestamp,HD entry timestamp,AMZN entry timestamp,AAPL exit timestamp,MSFT exit timestamp,JPM exit timestamp,XOM exit timestamp,JNJ exit timestamp,PG exit timestamp,NVDA exit timestamp,CAT exit timestamp,HD exit timestamp,AMZN exit timestamp,AAPL entry price,MSFT entry price,JPM entry price,XOM entry price,JNJ entry price,PG entry price,NVDA entry price,CAT entry price,HD entry price,AMZN entry price,AAPL exit price,MSFT exit price,JPM exit price,XOM exit price,JNJ exit price,PG exit price,NVDA exit price,CAT exit price,HD exit price,AMZN exit price
2024.11,0.10671936758893281,0.12450592885375496,-0.08893280632411069,0.11857707509881424,0.09881422924901187,0.1383399209486166,0.09881422924901187,0.15612648221343875,0.1442687747035573,0.10276679841897234,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-01 09:30:00,2024-11-07 12:00:00,2024-11-07 09:30:00,2024-11-06 09:30:00,2024-11-01 12:00:00,2024-11-08 12:00:00,2024-11-06 11:00:00,2024-11-05 09:30:00,2024-11-06 09:30:00,2024-11-06 10:00:00,2024-11-06 11:00:00,221.0,409.0,223.56,119.65,160.58,165.31,134.7,378.07,394.8,198.88,227.2,421.9,240.47,116.29,156.11,160.32,138.77,409.22,382.4,205.57
2024.12,-0.1862464183381089,-0.14040114613180515,-0.19197707736389685,0.14326647564469913,-0.10601719197707736,-0.2005730659025788,0.1833810888252149,-0.18624641833810887,-0.18624641833810887,-0.12893982808022922,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-02 09:30:00,2024-12-11 10:00:00,2024-12-05 12:00:00,2024-12-18 14:00:00,2024-12-11 10:00:00,2024-12-11 15:00:00,2024-12-18 09:30:00,2024-12-05 11:00:00,2024-12-12 09:30:00,2024-12-18 14:00:00,2024-12-05 12:00:00,237.27,421.57,249.55,118.05,154.75,179.12,138.83,407.46,429.0,209.9,250.14,443.94,234.0,111.69,146.64,169.56,146.08,385.24,397.82,221.54
2025.01,-0.1269487750556793,0.1447661469933185,0.1135857461024499,0.1247216035634744,0.0913140311804009,0.1135857461024499,0.1425389755011136,0.1447661469933185,0.1314031180400891,0.1202672605790646,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-02 09:30:00,2025-01-10 11:00:00,2025-01-31 00:00:00,2025-01-16 09:30:00,2025-01-31 00:00:00,2025-01-30 13:00:00,2025-01-10 14:00:00,2025-01-03 09:30:00,2025-01-17 11:00:00,2025-01-21 09:30:00,2025-01-22 11:00:00,248.93,425.53,240.92,108.28,145.23,168.1,136.0,365.51,392.13,222.44,234.89,415.06,256.01,106.83,154.01,157.79,143.93,386.36,416.46,235.07
2025.02,0.23958333333333331,0.3541666666666667,-0.34895833333333337,-0.21354166666666666,-0.3125,-0.23958333333333331,0.38541666666666663,-0.24479166666666663,-0.2864583333333333,-0.3333333333333333,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-03 09:30:00,2025-02-21 11:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,2025-02-21 14:00:00,2025-02-28 00:00:00,2025-02-05 11:00:00,2025-02-28 00:00:00,2025-02-28 00:00:00,2025-02-21 13:00:00,229.99,411.68,261.83,106.64,152.0,165.47,114.76,364.14,406.12,233.94,247.02,396.99,264.65,111.33,163.25,173.84,124.05,343.95,396.6,215.77
2025.03,-0.5229357798165138,0.5321100917431194,0.4770642201834863,-0.4220183486238533,-0.5596330275229359,-0.63302752293578,0.5504587155963303,0.49541284403669733,0.5412844036697249,0.5412844036697249,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-03 09:30:00,2025-03-12 10:00:00,2025-03-31 00:00:00,2025-03-10 09:30:00,2025-03-31 00:00:00,2025-03-31 00:00:00,2025-03-31 00:00:00,2025-03-06 14:00:00,2025-03-31 00:00:00,2025-03-13 09:30:00,2025-03-10 10:00:00,241.81,398.82,264.0,111.7,164.96,173.58,123.5,347.63,396.95,213.17,216.1,375.39,234.95,118.93,165.84,170.42,110.84,329.8,354.79,191.09
2025.04,0.228310502283105,0.2146118721461187,-0.13698630136986303,-0.30593607305936077,0.18264840182648404,0.2100456621004566,0.3013698630136986,-0.20091324200913244,0.17808219178082194,0.3287671232876712,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-01 09:30:00,2025-04-03 09:30:00,2025-04-07 09:30:00,2025-04-03 10:00:00,2025-04-03 14:00:00,2025-04-07 09:30:00,2025-04-07 09:30:00,2025-04-03 10:00:00,2025-04-03 10:00:00,2025-04-07 09:30:00,2025-04-02 12:00:00,219.87,374.65,242.62,119.22,160.73,170.57,108.52,327.01,364.14,187.86,204.36,353.35,227.65,113.16,148.41,160.57,102.78,309.2,339.6,197.12
