Date,Cash,AAPL Qty,MSFT Qty,JPM Qty,XOM Qty,JNJ Qty,PG Qty,NVDA Qty,CAT Qty,HD Qty,AMZN Qty,AAPL Close,MSFT Close,JPM Close,XOM Close,JNJ Close,PG Close,NVDA Close,CAT Close,HD Close,AMZN Close,Portfolio Value,Market Value
2024-11-01,116385.68000000012,482,304,-397,0,615,836,733,412,365,516,222.91,410.37,222.94,114.95,160.13,165.1,135.4,379.63,392.59,197.93,881274.46,997660.1400000001
2024-11-04,116385.68000000012,482,304,-397,0,615,836,733,412,365,516,222.01,408.46,219.78,118.61,158.24,165.08,136.05,376.52,395.57,195.78,879508.8999999999,995894.5800000001
2024-11-05,218104.09000000014,482,304,-397,0,615,836,0,412,365,516,223.45,411.46,221.49,118.96,158.35,165.76,139.91,383.37,400.09,199.5,787739.11,1005843.2000000002
2024-11-06,670913.7800000001,482,304,0,0,615,0,0,0,0,0,222.72,420.18,247.06,121.0,157.88,161.05,145.61,416.88,388.37,207.09,332181.96,1003095.7400000002
2024-11-07,908681.7800000001,0,0,0,0,615,0,0,0,0,0,227.48,425.43,236.38,121.15,156.73,163.41,148.88,408.21,399.44,210.05,96388.95,1005070.7300000001
2024-11-08,1004689.4300000002,0,0,0,0,0,0,0,0,0,0,226.96,422.54,236.98,121.11,155.47,167.71,147.63,393.37,405.9,208.18,0.0,1004689.4300000002
2024-11-11,1004689.4300000002,0,0,0,0,0,0,0,0,0,0,224.23,418.01,239.29,120.47,155.04,166.03,145.26,396.54,408.29,206.84,0.0,1004689.4300000002
2024-11-12,1004689.4300000002,0,0,0,0,0,0,0,0,0,0,224.23,423.03,239.56,120.35,152.64,165.84,148.29,393.01,403.08,208.91,0.0,1004689.4300000002
2024-11-13,1004689.4300000002,0,0,0,0,0,0,0,0,0,0,225.12,425.2,241.16,121.47,153.24,166.58,146.27,387.07,410.19,214.1,0.0,1004689.4300000002
2024-11-14,1004689.4300000002,0,0,0,0,0,0,0,0,0,0,228.22,426.89,241.87,120.56,151.87,167.08,146.76,387.36,405.72,211.48,0.0,1004689.4300000002
2024-11-15,1004689.4300000002,0,0,0,0,0,0,0,0,0,0,225.0,415.0,245.31,119.31,154.0,169.54,141.98,384.07,408.18,202.61,0.0,1004689.4300000002
2024-11-18,1004689.4300000002,0,0,0,0,0,0,0,0,0,0,228.02,415.76,245.03,120.31,154.77,170.75,140.15,384.46,410.44,201.7,0.0,1004689.4300000002
2024-11-19,1004689.4300000002,0,0,0,0,0,0,0,0,0,0,228.28,417.79,243.09,118.63,153.0,170.76,147.01,382.33,406.8,204.61,0.0,1004689.4300000002
2024-11-20,1004689.4300000002,0,0,0,0,0,0,0,0,0,0,229.0,415.49,240.78,120.32,153.11,170.89,145.89,381.5,400.0,202.88,0.0,1004689.4300000002
2024-11-21,1004689.4300000002,0,0,0,0,0,0,0,0,0,0,228.52,412.87,244.76,121.93,155.5,172.75,146.67,389.59,410.45,198.38,0.0,1004689.4300000002
2024-11-22,1004689.4300000002,0,0,0,0,0,0,0,0,0,0,229.87,417.0,248.55,121.79,155.17,176.28,141.95,397.49,420.0,197.12,0.0,1004689.4300000002
2024-11-25,1004689.4300000002,0,0,0,0,0,0,0,0,0,0,232.87,418.79,250.29,119.97,155.78,177.39,136.02,405.65,428.67,201.45,0.0,1004689.4300000002
2024-11-26,1004689.4300000002,0,0,0,0,0,0,0,0,0,0,235.06,427.99,249.97,117.97,154.52,179.31,136.92,407.83,429.52,207.86,0.0,1004689.4300000002
2024-11-27,1004689.4300000002,0,0,0,0,0,0,0,0,0,0,234.93,422.99,249.79,117.66,155.4,179.36,135.34,403.7,427.19,205.74,0.0,1004689.4300000002
2024-11-29,1004689.4300000002,0,0,0,0,0,0,0,0,0,0,237.33,423.46,249.72,117.96,155.01,179.26,138.25,406.11,429.13,207.89,0.0,1004689.4300000002
2024-12-02,2004258.4700000002,-784,-333,-769,1213,-685,-1119,1320,-457,-434,-614,239.59,430.98,246.25,117.85,154.8,179.7,138.63,402.51,426.96,210.71,-1000523.4500000002,1003735.02
