Date,Cash,AAPL Qty,MSFT Qty,JPM Qty,XOM Qty,JNJ Qty,PG Qty,NVDA Qty,CAT Qty,HD Qty,AMZN Qty,AAPL Price,MSFT Price,JPM Price,XOM Price,JNJ Price,PG Price,NVDA Price,CAT Price,HD Price,AMZN Price,Portfolio Value,Market Value
2024-11-01,217620.4100000001,482,304,-397,0,615,836,0,412,365,516,222.91,410.37,222.94,114.95,160.13,165.1,135.4,379.63,392.59,197.93,782026.26,999646.6700000002
2024-11-04,968506.4,482,304,0,0,0,836,0,412,365,0,222.01,408.46,219.78,118.61,158.24,165.08,136.05,376.52,395.57,195.78,668696.8300000001,1637203.23
2024-11-05,1026309.84,482,304,0,0,0,836,0,0,365,0,223.45,411.46,221.49,118.96,158.35,165.76,139.91,383.37,400.09,199.5,517394.94999999995,1543704.79
2024-11-06,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,222.72,420.18,247.06,121.0,157.88,161.05,145.61,416.88,388.37,207.09,0.0,1403432.0599999998
2024-11-07,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,227.48,425.43,236.38,121.15,156.73,163.41,148.88,408.21,399.44,210.05,0.0,1403432.0599999998
2024-11-08,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,226.96,422.54,236.98,121.11,155.47,167.71,147.63,393.37,405.9,208.18,0.0,1403432.0599999998
2024-11-11,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,224.23,418.01,239.29,120.47,155.04,166.03,145.26,396.54,408.29,206.84,0.0,1403432.0599999998
2024-11-12,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,224.23,423.03,239.56,120.35,152.64,165.84,148.29,393.01,403.08,208.91,0.0,1403432.0599999998
2024-11-13,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,225.12,425.2,241.16,121.47,153.24,166.58,146.27,387.07,410.19,214.1,0.0,1403432.0599999998
2024-11-14,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,228.22,426.89,241.87,120.56,151.87,167.08,146.76,387.36,405.72,211.48,0.0,1403432.0599999998
2024-11-15,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,225.0,415.0,245.31,119.31,154.0,169.54,141.98,384.07,408.18,202.61,0.0,1403432.0599999998
2024-11-18,1403432.0599999998,0,0,0,0,0,0,0,0,0,0,228.02,415.76,245.03,120.31,154.77,170.75,140.15,384.46,410.44,201.7,0.0,1403432.0599999998
